_id.Playback_rate,_id.Full_screne,_id.subtitle,_id.muted,_id.playing,count_correct_unique
1,false,English,false,true,4077
1,false,subtitlesOff,false,true,1575
1,true,English,false,true,1277
1,true,subtitlesOff,false,true,414
1.5,false,English,false,true,372
1,false,English,true,true,355
2,false,English,false,true,225
0.5,false,English,false,true,151
1.5,true,English,false,true,128
1.5,false,subtitlesOff,false,true,115
1,false,subtitlesOff,true,true,76
2,false,subtitlesOff,false,true,64
1.5,true,subtitlesOff,false,true,46
2,true,English,false,true,46
0.5,false,subtitlesOff,false,true,44
1,true,English,true,true,41
0.5,true,English,false,true,36
1.5,false,English,true,true,18
2,true,subtitlesOff,false,true,14
0.5,true,subtitlesOff,false,true,11
1,true,subtitlesOff,true,true,11
1.3,false,English,false,true,8
1.2,false,English,false,true,7
1.5,false,subtitlesOff,true,true,7
2,false,English,true,true,6
1.1,false,English,false,true,5
1.4,false,English,false,true,5
1.8,false,English,false,true,4
1.9,false,English,false,true,4
1.6,false,English,false,true,4
1.3,false,subtitlesOff,false,true,3
1.1,false,subtitlesOff,false,true,3
1.6,true,English,false,true,3
1.7,false,English,false,true,3
1.2,true,English,false,true,3
1.2,false,subtitlesOff,false,true,3
1.5,true,English,true,true,3
1.6,false,subtitlesOff,false,true,2
0.5,false,English,true,true,2
1.4,false,subtitlesOff,false,true,2
1,false,Español,false,true,1
2.35,false,English,false,true,1
1.3,true,English,false,true,1
1.1,true,English,false,true,1
2.1,false,English,false,true,1
2.3,false,English,false,true,1
0.5,true,subtitlesOff,true,true,1
0.5,false,subtitlesOff,true,true,1
2,false,subtitlesOff,true,true,1
0.6,false,English,false,true,1
1.8,true,English,false,true,1
0.8,true,English,false,true,1
0.8,false,English,false,true,1
2.2,false,English,false,true,1
0.9,false,English,false,true,1
1.7,false,subtitlesOff,false,true,1
0.7,false,English,false,true,1
1.4,true,English,false,true,1